start,end,"Form 3. This form is regarding flooding and maintenance. To answer the questions, please interview a person from that area","Section 1: General information and safety In this section, you will answer general information.",1.1 Your safety is our priority. ,1.2 Team code,Section 2: Questions are related to  flood and maintenance ,2.1 Does the drain have a history of flooding?,2.1 Does the drain have a history of flooding?/Yes,2.1 Does the drain have a history of flooding?/No,2.1 Does the drain have a history of flooding?/Cannot find info.,"2.2 During heavy rain, approx. height of water that flows on the road?",2.3 Does desilting happen often?,2.4 When was this SWD last cleaned?,2.5 Does the local community know who maintains the drain? ,Thank you for filling the audit form ,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A1,,Yes,1,0,0,6-10 inches,Once a year,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,645825970,7c49cd06-e67b-4782-ac29-3367b9dddea8,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:7c49cd06-e67b-4782-ac29-3367b9dddea8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A3,,No,0,1,0,2-5 inches,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,645828032,5a8309e4-f31f-4fa3-ab3b-74f118fcfb02,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:5a8309e4-f31f-4fa3-ab3b-74f118fcfb02,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A3,,Yes,1,0,0,2-5 inches,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,645835866,6eba75db-e5e4-475e-b717-50c7ea6fabe7,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:6eba75db-e5e4-475e-b717-50c7ea6fabe7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A2,,No,0,1,0,Does not flood,Cannot find info.,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,645856798,4bb6d9e8-5bb3-4949-90d2-6b941085f73b,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:4bb6d9e8-5bb3-4949-90d2-6b941085f73b,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A2,,Yes,1,0,0,More than 10 inches,Do not know,Cannot find info.,No one,OK,645856807,b5ca6408-8568-4133-8f05-b93a71ba3b9d,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:b5ca6408-8568-4133-8f05-b93a71ba3b9d,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A2,,Yes,1,0,0,More than 10 inches,Do not know,2-6 months back,Do not know,OK,645856812,49d7eda2-735a-4aef-aaa8-8a672f801312,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:49d7eda2-735a-4aef-aaa8-8a672f801312,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A2,,Yes,1,0,0,More than 10 inches,Cannot find info.,Cannot find info.,Do not know,OK,645856819,090a63a7-7cc0-4ad7-a37b-85e59e5d661f,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:090a63a7-7cc0-4ad7-a37b-85e59e5d661f,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A2,,Yes,1,0,0,Upto  1 inch,Do not know,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,645856825,72f57cfe-6f89-4911-ac62-57d31cb9cd0b,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:72f57cfe-6f89-4911-ac62-57d31cb9cd0b,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A2,,Yes,1,0,0,More than 10 inches,Do not know,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,645856831,1d2504b4-48dc-4f0e-be31-7c963b5b5dbb,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:1d2504b4-48dc-4f0e-be31-7c963b5b5dbb,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A1,,Yes,1,0,0,More than 10 inches,Do not know,More than 6 months,No one,OK,645869771,e18efab9-1fbe-431f-922f-1847c0ee3d2f,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:e18efab9-1fbe-431f-922f-1847c0ee3d2f,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A1,,Yes,1,0,0,Cannot find info. ,Cannot find info.,Cannot find info.,Do not know,OK,645870278,5d2077f8-ff94-4fc8-8833-d30e568fc876,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:5d2077f8-ff94-4fc8-8833-d30e568fc876,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A1,,Yes,1,0,0,More than 10 inches,Cannot find info.,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,645870285,5cd43ebc-45c9-4131-908d-05e4a5d6d42a,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:5cd43ebc-45c9-4131-908d-05e4a5d6d42a,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A1,,Yes,1,0,0,More than 10 inches,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,645871077,e3e1de0e-f44c-4109-b422-86bf04e4513d,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:e3e1de0e-f44c-4109-b422-86bf04e4513d,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A1,,Yes,1,0,0,Upto  1 inch,Do not know,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,645872730,d3a53693-a032-4964-a1de-8d5209e63995,10-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:d3a53693-a032-4964-a1de-8d5209e63995,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A3,,No,0,1,0,Does not flood,Once a year,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,646336293,bd53b43c-358e-450e-8e42-de322c3addf4,11-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:bd53b43c-358e-450e-8e42-de322c3addf4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A3,,Yes,1,0,0,2-5 inches,Once a year,More than 6 months,Do not know,OK,646336299,d0721811-8b93-437a-b9c1-b3ecfe8c19ff,11-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:d0721811-8b93-437a-b9c1-b3ecfe8c19ff,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-01-2026,10-01-2026,,,"Yes, I feel safe to conduct audit",A3,,Yes,1,0,0,Upto  1 inch,Every 6 months,2-6 months back,Do not know,OK,646336390,105860fc-dd55-4698-a5ec-09d356a8ef34,11-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:105860fc-dd55-4698-a5ec-09d356a8ef34,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A5,,Yes,1,0,0,More than 10 inches,Every 6 months,More than 6 months,GBA SWD Dept. ,OK,660501659,7db54646-b143-4bc8-8e73-555872c0ec51,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:7db54646-b143-4bc8-8e73-555872c0ec51,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A6,,Yes,1,0,0,2-5 inches,Once a year,2-6 months back,Do not know,OK,660510931,aceb54a9-50e5-4e50-87b5-3915e28f5963,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:aceb54a9-50e5-4e50-87b5-3915e28f5963,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A6,,Yes,1,0,0,2-5 inches,Do not know,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,660514519,443affe2-8429-4ebe-92d0-b853107949b6,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:443affe2-8429-4ebe-92d0-b853107949b6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A5,,No,0,1,0,Does not flood,Once a year,Last month,GBA (Previously known as BBMP) Ward Office,OK,660526416,b9c6b286-7f39-4d17-a826-a1dbdfb21032,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:b9c6b286-7f39-4d17-a826-a1dbdfb21032,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,,,,No,0,1,0,Does not flood,Once a year,More than 6 months,Do not know,OK,660526426,ab42f4d1-7ba9-4486-b2a2-f092a4412ecd,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:ab42f4d1-7ba9-4486-b2a2-f092a4412ecd,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A5,,Yes,1,0,0,More than 10 inches,Every 6 months,More than 6 months,GBA (Previously known as BBMP) Ward Office,OK,660526434,00db775b-3812-47b4-bd44-3618172016f7,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:00db775b-3812-47b4-bd44-3618172016f7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A5,,Yes,1,0,0,More than 10 inches,Do not know,Cannot find info.,Do not know,,660526441,d86d9bb2-0eab-4a32-ad63-f3e4c8be620b,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:d86d9bb2-0eab-4a32-ad63-f3e4c8be620b,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A5,,Yes,1,0,0,2-5 inches,Once a year,More than 6 months,Do not know,OK,660526446,5d916583-18f5-405d-b30d-2b6e1071c8de,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:5d916583-18f5-405d-b30d-2b6e1071c8de,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A6,,Yes,1,0,0,More than 10 inches,Do not know,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,660530275,46a00d48-90e5-4a0d-a638-454eac092724,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:46a00d48-90e5-4a0d-a638-454eac092724,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A7,,No,0,1,0,Does not flood,Every 6 months,More than 6 months,Do not know,OK,660530421,605c9bd8-3413-4e97-82af-d0a8353c2d25,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:605c9bd8-3413-4e97-82af-d0a8353c2d25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A7,,No,0,1,0,Does not flood,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,660530742,7fb4cf91-83d5-4492-ad73-4d847c8d44cc,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:7fb4cf91-83d5-4492-ad73-4d847c8d44cc,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A7,,No,0,1,0,Does not flood,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,660530752,1d90f909-0ee2-4d76-8094-bbb3086e890f,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:1d90f909-0ee2-4d76-8094-bbb3086e890f,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A7,,No,0,1,0,Does not flood,Every 6 months,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,660531123,9c5623d2-d6fc-4448-83e4-c8e1c9a33ed3,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:9c5623d2-d6fc-4448-83e4-c8e1c9a33ed3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,Yes,1,0,0,Does not flood,Do not know,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,660531359,fd03385f-b750-4462-94f6-c9a8327856c9,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:fd03385f-b750-4462-94f6-c9a8327856c9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,Yes,1,0,0,More than 10 inches,Once a year,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,660597771,7cec78be-2be6-425c-8adc-4f6d43ede726,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:7cec78be-2be6-425c-8adc-4f6d43ede726,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,Yes,1,0,0,Does not flood,Do not know,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,660597935,fcd1a9ca-059f-4682-b7aa-73302e90ddd7,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:fcd1a9ca-059f-4682-b7aa-73302e90ddd7,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,Yes,1,0,0,2-5 inches,Once a year,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,660597981,3ba97a3e-bdcb-43f0-a863-7e494f08dd1f,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:3ba97a3e-bdcb-43f0-a863-7e494f08dd1f,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-01-2026,31-01-2026,,,"Yes, I feel safe to conduct audit",A4,,Yes,1,0,0,Does not flood,Once a year,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,660598077,9fa45e96-bb1d-4792-bb64-6f6f88f2ddf8,31-01-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:9fa45e96-bb1d-4792-bb64-6f6f88f2ddf8,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A9,,Cannot find info.,0,0,1,Cannot find info. ,Cannot find info.,Cannot find info.,Do not know,OK,665837451,d83a6023-e641-465f-9752-dd4f49a6a3fd,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:d83a6023-e641-465f-9752-dd4f49a6a3fd,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A10,,Yes,1,0,0,6-10 inches,Do not know,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,665842416,0eddd573-92b0-4a51-ad85-59a86665e6a9,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:0eddd573-92b0-4a51-ad85-59a86665e6a9,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A9,,No,0,1,0,Does not flood,Cannot find info.,Cannot find info.,GBA (Previously known as BBMP) Ward Office,OK,665846912,5e86419e-e376-42c6-8bb8-ab4b08a81875,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:5e86419e-e376-42c6-8bb8-ab4b08a81875,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A8,,No,0,1,0,Does not flood,Do not know,Cannot find info.,Do not know,OK,665847010,e886e8f2-46bf-4fd1-acef-5a0d61919ed0,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:e886e8f2-46bf-4fd1-acef-5a0d61919ed0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A8,,No,0,1,0,Does not flood,Once a year,2-6 months back,GBA (Previously known as BBMP) Ward Office,OK,665847012,e33969e1-4d59-4758-9313-df1955804f35,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:e33969e1-4d59-4758-9313-df1955804f35,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A8,,No,0,1,0,Does not flood,Do not know,Cannot find info.,No one,OK,665847017,e6e81cd6-d1aa-45b0-811a-811ecb5e767b,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:e6e81cd6-d1aa-45b0-811a-811ecb5e767b,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A9,,Yes,1,0,0,Does not flood,Do not know,More than 6 months,GBA SWD Dept. ,OK,665850156,2245f6d9-df89-45ab-96fb-0178a83c44fd,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:2245f6d9-df89-45ab-96fb-0178a83c44fd,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2026,07-02-2026,,,"Yes, I feel safe to conduct audit",A11,,Cannot find info.,0,0,1,Cannot find info. ,Once a year,More than 6 months,GBA SWD Dept. ,OK,665851300,67360ead-2cd8-406d-a9c5-672454f0fa79,07-02-2026,,,submitted_via_web,,vJEYTnih43h86inVikMyrj,,uuid:67360ead-2cd8-406d-a9c5-672454f0fa79,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,"Yes, I feel safe to conduct audit",A19,,No,0,1,0,,Every 6 months,Last month,Do not know,OK,676772617,c75102c6-4dd8-4b6f-8c3f-50c9823ec347,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:c75102c6-4dd8-4b6f-8c3f-50c9823ec347,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-02-2026,21-02-2026,,,"Yes, I feel safe to conduct audit",A19,,Yes,1,0,0,2-5 inches,Once a year,Last month,Do not know,OK,676772623,0beddbb7-dedd-4368-9378-2d8b2aec6d77,21-02-2026,,,submitted_via_web,,v5gRYdvNEMSpkDy6nZJagS,,uuid:0beddbb7-dedd-4368-9378-2d8b2aec6d77,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
